Book Name,Category,URL
The Last Lecture,Life Lessons,http://www.palliativecare.in/wp-content/uploads/2022/04/The-Last-Lecture.pdf
The Alchemist,Life Lessons,https://icrrd.com/public/media/15-05-2021-084550The-Alchemist-Paulo-Coelho.pdf
The Art of Happiness,Life Lessons,https://librarykvbina.home.blog/wp-content/uploads/2019/12/the-art-of.pdf
The Little Prince,Life Lessons,https://blogs.ubc.ca/edcp508/files/2016/02/TheLittlePrince.pdf
The Four Agreements,Life Lessons,https://media.cmsmax.com/6j0m187z6e9h2yqesif6w/the-four-agreements-by-don-miguel-ruiz.pdf
The Book of Joy,Life Lessons,https://ia800500.us.archive.org/18/items/KnowThyselfAGuideToABetterLife/%5BDalai_Lama%2C_Desmond_Tutu%2C_Douglas_Carlton_Abrams%5D_The_Book_of_Joy.pdf
Life's Amazing Secrets,Life Lessons,http://tongaatsecondary.co.za/gallery/Life%E2%80%99s%20Amazing%20Secrets.pdf
Big Magic,Life Lessons,https://humanhomework.files.wordpress.com/2015/12/big-magic-elizabeth-gilbert2.pdf
Deep Work,Productivity,https://writemac.com/wp-content/uploads/2021/06/Deep-Work-by-Cal-Newport.pdf
The 5 AM Club,Productivity,https://librarykvemebrd.files.wordpress.com/2019/04/the-5-am-club.pdf
Eat That Frog!,Productivity,https://irp-cdn.multiscreensite.com/11fc3335/files/uploaded/Eat%20That%20Frog%21%2021%20Great%20Ways%20to%20Stop%20Procrastinating%20and%20Get%20More%20Done%20in%20Less%20Time%20%28%20PDFDrive%20%29.pdf
Essentialism,Productivity,https://heream.files.wordpress.com/2017/12/greg-mckeown-essentialism-the-disciplined-pursuit.pdf
The One Thing,Productivity,https://drzaban.com/wp-content/uploads/2017/08/The-One-Thing.pdf
Getting Things Done,Productivity,https://inspiredbyislam.wordpress.com/wp-content/uploads/2022/08/getting-things-done-the-art-of-stress-free-productivity-david-allen-z-lib.org_.pdf
Hyperfocus,Productivity,"https://archive.org/download/hyperfocus-the-new-science-of-attention-productivity-and-creativity-pdfdrive/Hyperfocus%20The%20New%20Science%20of%20Attention,%20Productivity,%20and%20Creativity%20(%20PDFDrive%20).pdf"
168 Hours,Productivity,https://lauravanderkam.com/wp-content/uploads/2018/04/30-Min-Timesheet-168-Hours-v2.pdf
The Productivity Project,Productivity,https://privateschools.wickedlocal.com/files/textbooks/Resources:L0C1/download/The_Productivity_Project_Chris_Bailey.pdf
Smarter Faster Better,Productivity,https://charlesduhigg.com/wp-content/uploads/2025/01/Smarter-Faster-Better-Chapter-Three.pdf
The Body Keeps the Score,Trauma,https://traumaresearchfoundation.org/wp-content/uploads/2022/01/Book-Club-Study-Guide_compressed.pdf
Waking the Tiger,Trauma,https://med-fom-learningcircle.sites.olt.ubc.ca/files/2015/04/Waking-the-Tiger.pdf
It Didn't Start with You,Trauma,https://cdn.bookey.app/files/pdf/book/en/it-didn't-start-with-you.pdf
Complex PTSD: From Surviving to Thriving,Trauma,https://notability.com/g/download/pdf/Q6bWJMpd4NPNACpEsRa3K/Complex%20PTSD:%20From%20Surviving%20to%20Thriving.pdf
Trauma and Recovery,Trauma,https://beyondthetemple.com/wp-content/uploads/2018/04/herman_trauma-and-recovery-1.pdf
In the Realm of Hungry Ghosts,Trauma,https://thezeitgeistmovement.se/files/In_the_Realm_of_Hungry_Ghosts_-_Gabor_Mate__M.D_.pdf
Healing the Shame That Binds You,Trauma,https://creativegrowth.com/wp-content/uploads/2017/10/bradshaw_shame-1.pdf
The Deepest Well,Trauma,https://bjgp.org/content/bjgp/72/717/182.full.pdf
Meditations,Philosophy,https://www.maximusveritas.com/wp-content/uploads/2017/09/Marcus-Aurelius-Meditations.pdf
The Republic,Philosophy,https://www.sciencetheearth.com/uploads/2/4/6/5/24658156/plato_-_the_republic.pdf
Thus Spoke Zarathustra,Philosophy,https://www2.hawaii.edu/~freeman/courses/phil394/Thus%20Spoke%20Zarathustra.pdf
Beyond Good and Evil,Philosophy,https://www.holybooks.com/wp-content/uploads/Nietzsche-Beyond-Good-and-Evil.pdf
Tao Te Ching,Philosophy,https://docdrop.org/download_annotation_doc/-Perennial-Classics-Lao-Tzu-Stephen-Mitchell---Tao-Te-Ching_-A-New-English-Version-Harper-Perennial-Modern-Classics-2006-2-4--pDMw9.pdf
The Art of War,Philosophy,https://sites.ualberta.ca/~enoch/Readings/The_Art_Of_War.pdf
The Ethics,Philosophy,https://www.distanceeducationju.in/pdf/BA%20Sem%20III%20Course%20No%20PL-301%20Philosophy.pdf
Letters from a Stoic,Philosophy,https://hillelettersfromstoic.files.wordpress.com/2014/10/letters-from-a-stoic_lucius-annaeus-seneca.pdf
Critique of Pure Reason,Philosophy,https://cpb-us-w2.wpmucdn.com/u.osu.edu/dist/5/25851/files/2017/09/kant-first-critique-cambridge-1m89prv.pdf
Sophie's World,Philosophy,https://www.rcboe.org/cms/lib/GA01903614/Centricity/Domain/2820/sophies%20world%20full%20text.pdf
The Brain That Changes Itself,Neuroscience,https://yurttutan.info/wp-content/uploads/2017/12/Doidge-Brain-Changes-Itself.pdf
How the Brain Works,Neuroscience,https://people.musc.edu/~woodward/How%20Our%20Brain%20Works.pdf
Incognito,Neuroscience,https://www.frostburg.edu/information-technology/_files/pdf/help-desk/how-to-open-a-private-or-incognito-browser-window.pdf
The Man Who Mistook His Wife for a Hat,Neuroscience,https://web.arch.virginia.edu/arch542/docs/reading/sackspdf/sacksvl.pdf
Connectome,Neuroscience,https://www.humanbrainmapping.org/files/2016/ED/Fornito_OHBM-June_2016.pdf
The Emotional Brain,Neuroscience,https://stanford.edu/~knutson/ans/dalgleish04.pdf
The Female Brain,Neuroscience,https://faculty.washington.edu/lynnhank/wbgould.pdf
How Emotions Are Made,Neuroscience,https://jyotsnabooks.files.wordpress.com/2017/12/how-emotions-are-made-the-secret-life-of-the-brain.pdf
The Power of Now,Spirituality,https://ati.dae.gov.in/ati12052021_6.pdf
A New Earth,Spirituality,https://www.ikhtyar.org/wp-content/uploads/2014/06/eckhart-tolle-a-new-earth.pdf
The Untethered Soul,Spirituality,https://spjnewswire.jrn.columbia.edu/display?textid=D96h302&FilesData=The_Untethered_Soul_The_Journey_Beyond_Yourself_By_Michael_A_Singer.pdf
The Seat of the Soul,Spirituality,https://blog.umamaya.com/wp-content/gold/Esoteric/The_Seat_of_the_Soul.pdf
The Bhagavad Gita,Spirituality,https://www.dlshq.org/download2/bgita.pdf
The Tao of Pooh,Spirituality,https://biggsrbr.weebly.com/uploads/8/7/4/4/8744974/the-tao-of-pooh-by-benjamin-hoff1.pdf
The Book,Spirituality,https://dpvipracollege.ac.in/wp-content/uploads/2023/01/Proofs-from-THE-BOOK-PDFDrive-.pdf
The Seven Spiritual Laws of Success,Spirituality,https://taxuna.wordpress.com/wp-content/uploads/2015/11/deepak-chopra-the-7-laws-of-success.pdf
Be Here Now,Spirituality,https://www.yoga.quest/pdf/Be-Here-Now.pdf
Conversations with God,Spirituality,https://www.law-of-attraction-haven.com/support-files/cwg-1.pdf
It Ends With Us,Love/Breakup,https://icrrd.com/public/media/15-05-2021-052358It-Ends-with-Us.pdf
It Starts With Us,Love/Breakup,https://d1hbl61hovme3a.cloudfront.net/assets_us/88522---it-starts-with-us-excerpt.pdf
The Fault in Our Stars,Love/Breakup,https://spensabayalibrary.files.wordpress.com/2016/04/the-fault-in-our-stars.pdf
Me Before You,Love/Breakup,https://icrrd.com/public/media/14-05-2021-091024Me-Before-You.pdf
After,Love/Breakup,https://www.apsu.edu/writingcenter/writing-resources/In-Of-At-To-From-After-Which.pdf
Call Me by Your Name,Love/Breakup,https://sonyclassics.com/awards-information/screenplays/callmebyyourname_screenplay-20171206.pdf
The Notebook,Love/Breakup,https://nicholassparks.com/wp-content/uploads/2022/09/excerpt-1.1996.10-the-notebook.pdf
Ugly Love,Love/Breakup,https://www.junkybooks.com/administrator/thebooks/62fec2186328f-ugly-love.pdf
Reminders of Him,Love/Breakup,https://spjnewswire.jrn.columbia.edu/IDtrack?dataid=B93q095&FilesData=Reminders_Of_Him_A_Novel_By_Colleen_Hoover.pdf
November 9,Love/Breakup,https://spjnewswire.jrn.columbia.edu/locs?pdfid=H96j399&FilesData=November_9_A_Novel_By_Colleen_Hoover.pdf
Eleanor & Park,Love/Breakup,https://uglynikki.files.wordpress.com/2013/07/eleanor-and-park.pdf
Normal People,Love/Breakup,http://marul.ffst.hr/~bwillems/fymob/npsr.pdf
Love and Other Words,Love/Breakup,https://translate68.ir/wp-content/uploads/Love-and-Other-Words-.pdf
A Thousand Boy Kisses,Love/Breakup,https://s1.papyruspub.com/files/demos/products/ebooks/novels/romance/Preview-A-Thousand-Boy-Kisses-by-Tillie-Cole.pdf
We Were Liars,Love/Breakup,https://posterspageturners.wordpress.com/wp-content/uploads/2017/04/we_were_liars.pdf
Maybe Someday,Love/Breakup,https://cdn.bookey.app/files/pdf/book/en/maybe-someday.pdf
The Rosie Project,Love/Breakup,http://downloads.bbc.co.uk/radio2/shows/simon-mayo/rosie-project.pdf
All the Bright Places,Love/Breakup,https://icrrd.com/public/media/15-05-2021-042220All-the-Bright-Places-Jennifer-Niven.pdf
Beach Read,Love/Breakup,https://pwc.res.zabanshenas.ir/Beach_Read_Emily_Henry_Henry_Emily_Z_Library_cc908a5bb5.pdf
